symbol,datetime,bar_index,period,close,ref_low,future_ret_6,future_ret_12,future_ret_24
BTC,2024-05-23 20:00:00,11814,2023-2024,67969.65,66753.42,0.008501978114690344,0.01924753988603295,0.021350375725464457
SOL,2024-05-23 20:00:00,8290,2023-2024,176.16,168.82,-0.04921600414520672,-0.04534752736728641,-0.03471227202745504
SOL,2024-05-24 04:00:00,8292,2023-2024,166.16,165.35,0.016888362006875532,-0.005007703004603106,-0.0004213694569493598
SOL,2024-05-24 08:00:00,8293,2023-2024,166.34,165.12,0.0135544693493478,-0.014045514832276297,0.020646278517668395
SOL,2024-05-26 08:00:00,8305,2023-2024,164.02,162.5,0.02242678994800035,0.03469179334994458,0.013203510813082624
SOL,2024-05-26 16:00:00,8307,2023-2024,162.71,162.23,0.03585608635643166,0.04612045207592014,0.03449138445061837
SOL,2024-05-26 20:00:00,8308,2023-2024,163.41,161.14,0.04041802088322203,0.03174104881466635,0.02101261118876943
BTC,2024-05-28 00:00:00,11839,2023-2024,68050.3,67924.39,0.011384132205679916,0.0009972938767445001,-0.004934838503266361
BTC,2024-05-28 16:00:00,11843,2023-2024,68424.29,67486.65,-0.017061374462014105,0.003337243957942256,-0.009847922173639275
BTC,2024-05-29 12:00:00,11848,2023-2024,67379.13,67277.91,0.016947369518028825,-0.0024302601565260873,0.011260931872971672
BTC,2024-05-29 16:00:00,11849,2023-2024,67266.78,67262.34,0.020398618419956358,0.006138986516072866,0.006965317193559229
ETH,2024-05-29 20:00:00,11850,2023-2024,3767.43,3744.41,-0.005194720104684686,-0.0013652568218689909,0.0035716500131168162
ETH,2024-05-30 08:00:00,11853,2023-2024,3737.0,3712.73,0.01740715233541923,0.013628939723346873,0.019083536993120105
BTC,2024-05-31 16:00:00,11861,2023-2024,67681.0,67124.65,0.001074465772302028,0.000826330677486241,0.03972294365809192
BTC,2024-06-07 16:00:00,11903,2023-2024,69255.0,68567.32,0.0029558466566068178,0.006552164601773733,-0.027046326182324828
BTC,2024-06-11 00:00:00,11923,2023-2024,68464.0,68420.0,-0.015559189582257833,-0.014551789989016971,-0.032602895331246565
ETH,2024-06-11 08:00:00,11925,2023-2024,3529.56,3505.0,0.0006117871171715351,-0.009219147287308573,0.0027840039710382613
ETH,2024-06-11 16:00:00,11927,2023-2024,3497.21,3432.01,0.00905187060213351,-0.0045223788286122175,0.01736797964483105
SOL,2024-06-11 16:00:00,8403,2023-2024,149.23,146.29,0.027103721504921484,-0.010102456609859917,-0.031102578522241894
ETH,2024-06-13 16:00:00,11939,2023-2024,3481.43,3432.0,-0.021842892681099884,0.02189035847344321,0.020633414537208523
ETH,2024-07-23 16:00:00,12179,2023-2024,3457.03,3411.4,-0.027576406188248328,-0.10133401999864568,-0.058375942139198715
SOL,2024-07-25 00:00:00,8663,2023-2024,170.53,169.72,0.030151296365951336,0.06871526693870988,0.11988537406093054
BTC,2024-07-25 04:00:00,12188,2023-2024,64134.0,63861.0,0.04208320652936256,0.05907232699071824,0.08075504844223226
